POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
22,8,0.4666666511111116,0.09345794363408741,12.84,0.4984423676012461,5.335376947040499,12.84,160,321,830,1,7.775700934579439
14,9,0.21739129489603065,0.14935064838083995,5.310344827586207,0.37662337662337664,2.2747872816838335,5.310344827586207,58,154,347,0,7.8441558441558445
4,0,0.9999997500000625,0.04494381971973237,8.9,0.5393258426966292,3.775730337078652,8.9,48,89,226,1,7.674157303370786
20,37,-0.2982456088027086,0.1642651292096106,6.3090909090909095,0.30547550432276654,2.6458265653654705,6.3090909090909095,106,347,670,13,6.731988472622478
5,2,0.4285713673469475,0.08860759381509375,7.9,0.3670886075949367,3.306835443037975,7.9,29,79,178,1,7.050632911392405
46,18,0.43749999316406263,0.10457516322781836,9.0,0.5065359477124183,3.8026143790849676,9.0,310,612,1569,0,7.926470588235294
7,17,-0.41666664930555625,0.09999999958333333,7.741935483870968,0.3875,3.2517741935483873,7.741935483870968,93,240,540,7,7.266666666666667
20,36,-0.285714280612245,0.12280701727454602,9.12,0.36403508771929827,3.793614035087719,9.12,166,456,997,5,7.010964912280702
24,48,-0.3333333287037038,0.08899876379604603,10.932432432432432,0.48084054388133496,4.5653091905255065,10.932432432432432,389,809,1962,16,7.84672435105068
42,23,0.292307687810651,0.09103641443832435,9.916666666666666,0.34593837535014005,4.105042016806723,9.916666666666666,247,714,1563,18,6.852941176470588
29,22,0.1372548992695118,0.08108108095217634,9.115942028985508,0.3767885532591415,3.79709223289786,9.115942028985508,237,629,1373,15,6.880763116057234
24,7,0.5483870790842877,0.09810126551233776,4.7164179104477615,0.38924050632911394,2.0422633667107504,4.7164179104477615,123,316,686,0,7.3354430379746836
38,8,0.6521738988657848,0.09145129206470916,8.672413793103448,0.34592445328031807,3.6073352985535068,8.672413793103448,174,503,1045,3,7.182902584493042
26,6,0.6249999804687506,0.18823529301038064,10.0,0.4823529411764706,4.192941176470589,10.0,82,170,399,8,7.311764705882353
35,15,0.3999999920000002,0.06877579082699341,10.691176470588236,0.4855570839064649,4.47069342179788,10.691176470588236,353,727,1802,7,7.5928473177441544
21,70,-0.5384615325443788,0.21927710790535637,5.928571428571429,0.3301204819277108,2.503476764199656,5.928571428571429,137,415,839,4,6.971084337349398
60,23,0.44578312715923946,0.1729166663064236,6.315789473684211,0.30416666666666664,2.647982456140351,6.315789473684211,146,480,906,5,6.647916666666666
24,41,-0.261538457514793,0.1109215015171988,9.932203389830509,0.31399317406143346,4.098478625556777,9.932203389830509,184,586,1159,0,6.658703071672355
28,24,0.07692307544378701,0.07417974311814587,7.457446808510638,0.4194008559201141,3.150739065772301,7.457446808510638,294,701,1641,7,7.36376604850214
21,78,-0.5757575699418428,0.22448979540932018,6.3,0.3401360544217687,2.6560544217687077,6.3,150,441,907,5,7.052154195011338
36,31,0.074626864557808,0.1019786908645682,9.805970149253731,0.3942161339421613,4.080074513278357,9.805970149253731,259,657,1438,5,6.948249619482496
23,13,0.2777777700617286,0.09836065546895996,13.555555555555555,0.3907103825136612,5.578506375227687,13.555555555555555,143,366,848,1,7.33879781420765
36,23,0.22033897931628849,0.10034013588377529,14.7,0.4200680272108844,6.048027210884354,14.7,247,588,1409,1,7.460884353741497
29,48,-0.24675324354865918,0.09846547301986512,9.775,0.4040920716112532,4.071636828644501,9.775,316,782,1725,5,7.157289002557545
32,10,0.5238095113378688,0.023836549362181297,7.076305220883534,0.2735527809307605,2.9399432007257182,7.076305220883534,482,1762,3282,0,6.199772985244041
31,40,-0.12676056159492166,0.09208819702712297,9.178571428571429,0.41893644617380027,3.839003149898092,9.178571428571429,323,771,1759,4,7.304798962386511
28,59,-0.3563218349848065,0.10701106997907618,13.112903225806452,0.4489544895448955,5.4247430861405395,13.112903225806452,365,813,1923,1,7.3849938499385
3,3,0.0,0.08450704106328112,10.142857142857142,0.38028169014084506,4.209255533199196,10.142857142857142,27,71,164,2,7.394366197183099
28,4,0.7499999765625008,0.0719101121979548,9.46808510638298,0.3235955056179775,3.916672244800383,9.46808510638298,144,445,921,0,6.961797752808989
35,31,0.06060605968778698,0.09593023241870606,5.830508474576271,0.4375,2.5072033898305084,5.830508474576271,301,688,1532,4,7.482558139534884
45,14,0.5254237199080726,0.07421383638463669,8.932584269662922,0.4050314465408805,3.735046286481521,8.932584269662922,322,795,1789,4,7.373584905660377
28,32,-0.06666666555555557,0.12345678986943047,10.340425531914894,0.39711934156378603,4.295017949391472,10.340425531914894,193,486,1088,3,7.121399176954733
16,41,-0.43859648353339503,0.0625686058588709,11.531645569620252,0.43578485181119647,4.7869721685725795,11.531645569620252,397,911,2117,1,7.294182217343579
13,41,-0.5185185089163239,0.12053571401666135,9.142857142857142,0.39285714285714285,3.814285714285714,9.142857142857142,176,448,1015,6,7.227678571428571
33,48,-0.18518518289894836,0.15882352910034603,7.083333333333333,0.38235294117647056,2.9862745098039216,7.083333333333333,195,510,1083,26,7.056862745098039
21,27,-0.1249999973958334,0.10322580622962192,12.236842105263158,0.4559139784946237,5.0771024335031125,12.236842105263158,212,465,1103,12,7.268817204301075
17,41,-0.41379309631391215,0.08814589652257462,9.969696969696969,0.40577507598784196,4.150188818273924,9.969696969696969,267,658,1519,2,7.404255319148936
3,3,0.0,0.07692307593688365,9.75,0.3333333333333333,4.033333333333334,9.75,26,78,166,2,7.076923076923077
28,45,-0.23287670913867523,0.13984674302711353,8.285714285714286,0.37547892720306514,3.464477285166941,8.285714285714286,196,522,1101,11,6.896551724137931
5,24,-0.655172391200952,0.08978328145577931,10.766666666666667,0.4024767801857585,4.46765737874097,10.766666666666667,130,323,700,4,6.848297213622291
24,54,-0.3846153796844182,0.142076502473449,10.358490566037736,0.44990892531876137,4.323359796542599,10.358490566037736,247,549,1290,4,7.457194899817851
21,34,-0.2363636320661158,0.13157894705363887,10.45,0.35645933014354064,4.322583732057416,10.45,149,418,877,6,6.904306220095694
6,3,0.33333329629630043,0.04186046492157924,8.6,0.4372093023255814,3.6148837209302322,8.6,94,215,489,0,7.344186046511628
11,3,0.5714285306122479,0.051094890324471204,7.828571428571428,0.3759124087591241,3.2817935349322216,7.828571428571428,103,274,565,1,6.58029197080292
31,55,-0.2790697641968632,0.16538461506656804,14.857142857142858,0.4269230769230769,6.113626373626374,14.857142857142858,222,520,1226,1,7.492307692307692
